Customer_ID,Age,Gender,Total_Spend,Average_Order_Value,Purchase_Frequency,Last_Purchase_Days,Customer_Rating,Complaint_Raised,Return_Count,Churn
C00001,18,Male,3570,357.0,10,33,2,No,3,0
C00002,48,Female,1712,428.0,4,56,4,Yes,4,1
C00003,56,Male,5768,721.0,8,4,1,Yes,3,1
C00004,40,Female,660,660.0,1,81,5,No,3,0
C00005,31,Male,512,512.0,1,39,1,No,3,0
C00006,24,Male,3609,401.0,9,65,3,Yes,1,0
C00007,32,Female,3050,305.0,10,111,4,Yes,2,1
C00008,37,Female,510,510.0,1,84,1,No,1,1
C00009,49,Male,790,395.0,2,75,1,Yes,3,1
C00010,48,Female,3032,379.0,8,13,3,Yes,5,1
C00011,19,Female,2256,752.0,3,98,4,No,2,0
C00012,48,Male,6190,619.0,10,11,2,No,1,0
C00013,23,Female,5870,587.0,10,71,1,Yes,3,1
C00014,44,Male,8530,853.0,10,11,5,Yes,0,0
C00015,49,Male,7800,650.0,12,23,5,No,1,0
C00016,23,Male,6076,868.0,7,84,4,No,0,0
C00017,19,Female,3663,407.0,9,25,2,No,0,0
C00018,56,Female,1678,839.0,2,75,4,Yes,0,0
C00019,21,Female,4202,382.0,11,106,3,No,2,0
C00020,55,Male,843,843.0,1,38,3,Yes,5,1
C00021,49,Male,4880,610.0,8,28,5,Yes,5,1
C00022,56,Female,4878,542.0,9,24,2,No,3,0
C00023,36,Male,4104,342.0,12,33,1,Yes,1,0
C00024,47,Male,6648,831.0,8,1,5,Yes,4,1
C00025,35,Male,1689,563.0,3,91,5,Yes,5,1
C00026,48,Female,6512,814.0,8,87,1,No,1,0
C00027,49,Female,4529,647.0,7,51,1,No,2,0
C00028,56,Female,692,346.0,2,48,5,Yes,0,0
C00029,56,Male,676,676.0,1,3,1,Yes,3,1
C00030,54,Female,4390,878.0,5,19,4,No,0,0
C00031,60,Female,1341,447.0,3,41,5,No,5,0
C00032,32,Male,8382,762.0,11,38,1,No,0,0
C00033,38,Male,3248,464.0,7,11,4,Yes,4,1
C00034,23,Male,6200,620.0,10,5,3,Yes,4,1
C00035,46,Female,6048,864.0,7,15,3,No,1,0
C00036,26,Male,1470,490.0,3,57,3,No,5,0
C00037,18,Male,5136,856.0,6,47,5,Yes,5,1
C00038,36,Male,563,563.0,1,41,4,Yes,2,1
C00039,27,Female,7752,646.0,12,76,1,No,3,0
C00040,35,Female,7970,797.0,10,101,2,Yes,4,1
C00041,59,Female,5240,524.0,10,120,3,Yes,3,1
C00042,25,Female,886,886.0,1,32,1,Yes,4,1
C00043,54,Female,3222,537.0,6,115,5,No,5,0
C00044,44,Male,1644,822.0,2,46,1,No,3,0
C00045,56,Female,7192,899.0,8,46,1,Yes,1,0
C00046,55,Female,5920,592.0,10,45,2,No,3,0
C00047,19,Male,1252,626.0,2,96,1,Yes,4,1
C00048,18,Male,4708,428.0,11,26,5,Yes,2,1
C00049,46,Female,4056,507.0,8,45,5,No,5,0
C00050,25,Male,6006,546.0,11,112,2,No,2,0
C00051,57,Female,2744,392.0,7,80,1,No,5,0
C00052,43,Female,2815,563.0,5,46,3,Yes,3,1
C00053,23,Female,2848,712.0,4,76,5,Yes,2,1
C00054,25,Male,3312,552.0,6,21,1,Yes,1,0
C00055,58,Male,1790,358.0,5,89,4,No,1,0
C00056,48,Male,3738,623.0,6,29,3,No,5,0
C00057,18,Female,2645,529.0,5,75,2,Yes,1,0
C00058,31,Male,4176,464.0,9,69,2,Yes,5,1
C00059,50,Male,1712,856.0,2,47,3,No,2,0
C00060,35,Male,1408,704.0,2,27,3,No,4,0
C00061,22,Male,5824,728.0,8,72,5,No,1,0
C00062,40,Male,2982,497.0,6,21,4,Yes,5,1
C00063,53,Male,1752,438.0,4,17,2,Yes,2,1
C00064,45,Female,3536,884.0,4,68,2,Yes,3,1
C00065,18,Female,1202,601.0,2,80,1,No,1,1
C00066,52,Female,3605,515.0,7,29,3,No,4,0
C00067,25,Male,3392,848.0,4,3,5,No,0,0
C00068,58,Male,4824,402.0,12,115,4,Yes,1,0
C00069,44,Male,9229,839.0,11,38,3,Yes,5,1
C00070,30,Female,4417,631.0,7,48,5,No,1,0
C00071,34,Male,1565,313.0,5,10,2,Yes,1,0
C00072,33,Female,612,306.0,2,11,1,No,5,0
C00073,36,Female,5052,842.0,6,44,4,No,0,0
C00074,49,Male,2884,412.0,7,2,4,Yes,0,0
C00075,35,Female,885,885.0,1,34,1,Yes,3,1
C00076,44,Female,3776,472.0,8,65,2,No,3,0
C00077,53,Female,1764,441.0,4,31,2,No,1,0
C00078,38,Male,2232,558.0,4,32,2,Yes,0,0
C00079,27,Female,3984,332.0,12,10,2,No,3,0
C00080,49,Male,730,365.0,2,49,5,No,0,0
C00081,39,Male,4280,428.0,10,82,4,Yes,4,1
C00082,44,Female,7964,724.0,11,68,4,Yes,3,1
C00083,47,Male,5140,514.0,10,68,3,No,2,0
C00084,52,Male,7092,591.0,12,100,2,No,2,0
C00085,25,Male,5580,620.0,9,102,2,Yes,5,1
C00086,18,Male,5565,795.0,7,91,1,No,2,0
C00087,26,Male,5810,581.0,10,81,1,No,2,0
C00088,25,Male,4242,707.0,6,7,2,Yes,5,1
C00089,41,Male,847,847.0,1,117,3,Yes,3,1
C00090,42,Male,3130,626.0,5,11,2,No,4,0
C00091,28,Male,2970,495.0,6,113,3,Yes,1,0
C00092,60,Male,2082,694.0,3,99,3,No,4,0
C00093,19,Male,1510,302.0,5,13,4,No,4,0
C00094,26,Male,4070,370.0,11,63,3,No,1,0
C00095,31,Male,2790,558.0,5,64,2,Yes,5,1
C00096,21,Female,3510,702.0,5,16,1,Yes,5,1
C00097,30,Male,464,464.0,1,103,3,Yes,0,0
C00098,42,Male,3770,754.0,5,74,2,No,4,0
C00099,56,Male,8140,814.0,10,113,5,Yes,3,1
C00100,44,Male,6480,648.0,10,40,3,No,2,0
C00101,53,Female,6139,877.0,7,105,1,No,1,0
C00102,46,Female,5896,737.0,8,77,5,Yes,5,1
C00103,46,Female,702,351.0,2,4,2,No,0,0
C00104,37,Female,4380,438.0,10,49,5,Yes,5,1
C00105,53,Male,3036,759.0,4,43,4,Yes,4,1
C00106,42,Male,2790,310.0,9,94,2,No,2,0
C00107,26,Female,1092,364.0,3,31,2,Yes,5,1
C00108,39,Female,2340,780.0,3,68,1,Yes,1,1
C00109,22,Female,1920,384.0,5,59,3,No,4,0
C00110,57,Female,1734,867.0,2,11,1,Yes,0,0
C00111,31,Female,4191,381.0,11,99,3,Yes,4,1
C00112,21,Female,4221,603.0,7,101,4,No,5,0
C00113,34,Female,5530,790.0,7,28,3,No,5,0
C00114,23,Male,5922,846.0,7,61,5,No,1,0
C00115,23,Female,3792,632.0,6,45,3,No,2,0
C00116,19,Female,7117,647.0,11,24,3,No,2,0
C00117,59,Female,7218,802.0,9,85,1,Yes,5,1
C00118,21,Male,2296,574.0,4,35,5,No,0,0
C00119,53,Male,4634,662.0,7,97,1,Yes,3,1
C00120,38,Male,2796,699.0,4,95,2,No,3,0
C00121,58,Male,5232,654.0,8,76,1,Yes,1,0
C00122,23,Female,740,370.0,2,40,4,No,0,0
C00123,28,Female,5193,577.0,9,61,3,No,4,0
C00124,37,Female,6392,799.0,8,30,4,Yes,4,1
C00125,41,Male,682,682.0,1,16,2,No,0,0
C00126,20,Male,5424,678.0,8,50,4,Yes,2,1
C00127,35,Female,380,380.0,1,114,3,No,5,0
C00128,56,Male,1780,890.0,2,80,5,Yes,5,1
C00129,38,Female,5661,629.0,9,6,2,No,0,0
C00130,37,Female,6182,562.0,11,64,2,Yes,0,0
C00131,41,Female,1372,343.0,4,60,5,No,5,0
C00132,33,Female,1686,562.0,3,65,4,No,5,0
C00133,41,Female,8436,703.0,12,54,2,No,1,0
C00134,44,Female,4650,465.0,10,67,3,Yes,0,0
C00135,52,Male,3624,302.0,12,43,4,Yes,2,1
C00136,20,Male,6193,563.0,11,66,4,Yes,3,1
C00137,50,Male,2307,769.0,3,42,4,No,4,0
C00138,56,Male,6080,760.0,8,101,5,No,3,0
C00139,49,Male,6210,690.0,9,9,1,Yes,1,0
C00140,44,Male,4160,832.0,5,54,3,No,0,0
C00141,33,Male,2635,527.0,5,92,5,No,1,0
C00142,33,Female,3927,561.0,7,86,3,No,1,0
C00143,45,Male,6276,523.0,12,68,2,No,3,0
C00144,41,Male,5320,760.0,7,43,2,Yes,4,1
C00145,48,Male,1890,315.0,6,55,1,No,3,0
C00146,57,Male,5328,888.0,6,84,3,Yes,0,0
C00147,36,Female,829,829.0,1,98,4,Yes,3,1
C00148,40,Male,3325,665.0,5,75,4,Yes,0,0
C00149,58,Male,9845,895.0,11,104,2,Yes,1,0
C00150,22,Male,1528,764.0,2,86,5,Yes,4,1
C00151,39,Male,3024,378.0,8,119,4,Yes,0,0
C00152,31,Male,2115,423.0,5,4,4,No,1,0
C00153,27,Female,1720,344.0,5,73,3,No,0,0
C00154,43,Female,8320,832.0,10,103,4,Yes,5,1
C00155,18,Male,1929,643.0,3,116,1,No,2,1
C00156,31,Male,488,488.0,1,33,2,No,5,0
C00157,55,Male,1426,713.0,2,8,5,No,1,0
C00158,23,Male,4248,472.0,9,76,4,No,5,0
C00159,24,Female,4000,400.0,10,80,2,No,3,0
C00160,40,Male,3330,333.0,10,10,3,Yes,2,1
C00161,40,Female,3360,560.0,6,97,5,No,4,0
C00162,49,Female,7236,603.0,12,52,3,Yes,0,0
C00163,39,Male,2766,461.0,6,83,5,Yes,2,1
C00164,45,Male,4557,651.0,7,120,4,Yes,1,0
C00165,35,Male,1533,511.0,3,109,5,No,0,0
C00166,38,Female,3660,305.0,12,114,4,Yes,4,1
C00167,54,Female,7280,728.0,10,63,3,No,5,0
C00168,20,Male,2616,436.0,6,23,4,Yes,4,1
C00169,37,Female,1628,407.0,4,108,2,No,5,0
C00170,23,Female,2037,679.0,3,68,2,No,4,1
C00171,47,Female,3800,475.0,8,46,1,No,1,0
C00172,60,Female,2754,459.0,6,14,4,No,3,0
C00173,50,Female,9816,818.0,12,114,2,No,4,0
C00174,18,Female,2751,393.0,7,46,3,Yes,4,1
C00175,47,Female,3810,635.0,6,112,3,No,0,0
C00176,32,Male,1935,387.0,5,69,1,Yes,4,1
C00177,20,Male,9559,869.0,11,13,3,No,4,0
C00178,30,Female,520,520.0,1,23,3,Yes,5,1
C00179,24,Male,4440,370.0,12,16,4,Yes,2,1
C00180,26,Male,5558,794.0,7,38,2,No,2,0
C00181,25,Female,3996,666.0,6,102,2,No,5,0
C00182,31,Female,614,614.0,1,82,2,No,2,1
C00183,51,Male,2090,418.0,5,24,4,No,1,0
C00184,38,Female,6592,824.0,8,112,2,No,1,0
C00185,55,Female,5170,517.0,10,45,3,No,0,0
C00186,56,Female,772,386.0,2,73,3,Yes,4,1
C00187,57,Female,4725,525.0,9,90,1,No,3,0
C00188,23,Female,1780,445.0,4,107,4,No,5,0
C00189,27,Female,618,309.0,2,66,2,Yes,1,1
C00190,53,Female,2868,717.0,4,61,4,No,2,0
C00191,32,Female,636,318.0,2,40,5,No,0,0
C00192,34,Male,9053,823.0,11,111,3,No,5,0
C00193,19,Male,2712,339.0,8,4,1,No,0,0
C00194,57,Female,1164,388.0,3,33,3,Yes,0,0
C00195,42,Female,4410,630.0,7,6,4,Yes,5,1
C00196,29,Male,1590,318.0,5,72,1,No,5,0
C00197,49,Female,7403,673.0,11,48,2,No,5,0
C00198,46,Male,8532,711.0,12,63,3,Yes,1,0
C00199,21,Female,3695,739.0,5,67,5,Yes,4,1
C00200,25,Female,5272,659.0,8,88,4,Yes,1,0
C00201,54,Female,2488,622.0,4,2,4,No,5,0
C00202,33,Male,1503,501.0,3,105,2,Yes,5,1
C00203,36,Female,5599,509.0,11,72,1,No,0,0
C00204,18,Male,4840,484.0,10,119,3,No,1,0
C00205,24,Female,4356,363.0,12,11,5,No,1,0
C00206,46,Male,5268,439.0,12,29,3,No,4,0
C00207,48,Male,8700,725.0,12,70,1,Yes,4,1
C00208,24,Male,1428,476.0,3,22,2,No,5,0
C00209,48,Male,8525,775.0,11,86,5,No,1,0
C00210,26,Male,3015,603.0,5,82,5,No,5,0
C00211,47,Female,5698,814.0,7,39,3,No,3,0
C00212,47,Female,2070,345.0,6,60,1,Yes,3,1
C00213,46,Female,5392,674.0,8,55,2,Yes,2,1
C00214,33,Male,1020,340.0,3,75,2,No,1,1
C00215,46,Female,588,588.0,1,116,5,Yes,0,0
C00216,55,Male,5348,764.0,7,69,1,Yes,3,1
C00217,19,Male,8064,896.0,9,45,4,No,1,0
C00218,56,Male,573,573.0,1,104,3,No,1,0
C00219,42,Female,6303,573.0,11,64,4,Yes,5,1
C00220,26,Female,507,507.0,1,85,4,No,1,0
C00221,43,Male,5560,695.0,8,118,2,Yes,3,1
C00222,57,Male,5033,719.0,7,23,2,Yes,2,1
C00223,32,Male,2516,629.0,4,20,2,Yes,1,0
C00224,35,Male,2880,576.0,5,42,5,Yes,1,0
C00225,25,Female,4350,435.0,10,62,5,Yes,3,1
C00226,21,Male,4725,525.0,9,65,4,No,2,0
C00227,46,Female,4800,800.0,6,100,5,Yes,0,0
C00228,41,Female,2916,486.0,6,113,4,Yes,5,1
C00229,44,Female,5472,684.0,8,59,1,Yes,1,0
C00230,38,Male,4900,490.0,10,84,1,Yes,3,1
C00231,18,Male,6896,862.0,8,118,3,Yes,2,1
C00232,18,Female,3320,415.0,8,87,1,Yes,4,1
C00233,48,Female,1275,425.0,3,54,2,Yes,3,1
C00234,30,Female,3674,334.0,11,6,4,No,0,0
C00235,53,Female,3129,447.0,7,112,1,No,3,0
C00236,36,Male,2232,558.0,4,71,2,Yes,1,0
C00237,33,Male,2880,480.0,6,36,4,No,5,0
C00238,47,Male,1023,341.0,3,30,2,No,3,0
C00239,41,Male,1062,354.0,3,89,5,No,1,0
C00240,27,Male,5230,523.0,10,21,3,No,5,0
C00241,46,Male,7713,857.0,9,64,3,No,2,0
C00242,35,Male,698,349.0,2,103,5,No,5,0
C00243,19,Male,10608,884.0,12,57,2,Yes,4,1
C00244,26,Female,6600,825.0,8,2,2,Yes,3,1
C00245,31,Female,2094,698.0,3,40,3,No,1,0
C00246,37,Female,4130,413.0,10,83,2,Yes,2,1
C00247,45,Female,768,768.0,1,39,5,No,0,0
C00248,36,Female,810,405.0,2,108,2,Yes,0,1
C00249,26,Female,4164,694.0,6,4,5,No,0,0
C00250,21,Male,6340,634.0,10,41,2,Yes,5,1
C00251,33,Male,6400,640.0,10,108,2,Yes,0,0
C00252,36,Male,6809,619.0,11,111,4,Yes,4,1
C00253,37,Female,4752,432.0,11,82,5,Yes,3,1
C00254,39,Female,382,382.0,1,102,4,No,1,0
C00255,19,Male,3248,464.0,7,90,4,No,5,0
C00256,31,Male,3843,427.0,9,36,4,Yes,2,1
C00257,35,Female,897,897.0,1,50,1,Yes,1,0
C00258,19,Female,7029,781.0,9,63,3,Yes,4,1
C00259,35,Male,5376,672.0,8,21,2,No,4,0
C00260,55,Male,2478,826.0,3,119,3,No,0,0
C00261,49,Male,9132,761.0,12,34,3,No,5,0
C00262,56,Male,1428,714.0,2,2,3,No,5,0
C00263,46,Male,5904,656.0,9,43,3,Yes,3,1
C00264,24,Male,3136,392.0,8,15,2,Yes,4,1
C00265,51,Female,686,686.0,1,120,3,Yes,0,0
C00266,58,Female,3648,608.0,6,33,3,Yes,1,0
C00267,19,Female,5892,491.0,12,115,4,No,2,0
C00268,27,Male,4580,458.0,10,26,3,Yes,1,0
C00269,60,Female,7430,743.0,10,80,2,Yes,0,0
C00270,58,Male,3550,710.0,5,115,4,Yes,2,1
C00271,44,Female,5304,663.0,8,61,3,Yes,3,1
C00272,48,Female,5764,524.0,11,17,5,Yes,3,1
C00273,50,Male,619,619.0,1,102,1,No,5,1
C00274,27,Female,948,316.0,3,44,3,Yes,2,1
C00275,42,Male,1488,372.0,4,11,3,No,4,0
C00276,38,Female,1916,479.0,4,120,3,No,0,0
C00277,34,Male,2436,406.0,6,24,3,No,3,0
C00278,54,Female,5511,501.0,11,86,5,No,0,0
C00279,55,Male,4224,704.0,6,100,5,Yes,0,0
C00280,24,Male,4884,407.0,12,89,3,No,4,0
C00281,20,Female,5830,583.0,10,97,4,No,0,0
C00282,46,Male,3899,557.0,7,10,2,No,2,0
C00283,36,Male,6864,858.0,8,9,1,Yes,3,1
C00284,38,Female,3184,398.0,8,68,5,Yes,2,1
C00285,25,Female,4796,436.0,11,27,3,Yes,5,1
C00286,24,Male,2496,832.0,3,101,5,No,4,0
C00287,29,Female,7557,687.0,11,21,3,No,3,0
C00288,52,Male,3564,594.0,6,108,3,Yes,2,1
C00289,45,Male,5131,733.0,7,113,5,No,0,0
